shop_id,item_id,product_name,brand,review_count,avg_rating,avg_review_len,reply_count,reply_rate
FPTShop,346600612901,Dell 15 DC15250 i5 1334U_71084746,Apple,6,4.833,118.0,0,0.0
FPTShop,347464315009,Acer Gaming Nitro Lite 16 NL16-71G-56WQ i5 13420H,Apple,5,5.0,114.6,0,0.0
FPTShop,348611815583,Macbook Pro 14 M5 2025 10CPU/10GPU/24GB/512GB,Apple,5,5.0,91.6,0,0.0
FPTShop,353033435338,Asus Zenbook S 16 OLED UM5606KA-RK113WS Ryzen AI 7 350,Apple,5,5.0,190.8,0,0.0
FPTShop,354276913621,Acer Gaming Nitro V 15 ProPanel ANV15-52-59RR Core 5 210H,Apple,5,5.0,96.4,0,0.0
FPTShop,355972928823,HP 14-em0255AU R5-7530U (C81N3PA),Apple,5,4.8,121.0,0,0.0
FPTShop,359513625041,Asus Vivobook X1504VA-NJ526W i5 1335U,Oppo,70,5.0,125.59,22,0.3143
FPTShop,367129033100,Lenovo IdeaPad Slim 3 15ARP10 R5 7535HS (83K700EQVN),Apple,5,5.0,120.8,0,0.0
FPTShop,367413928437,Dell 15 DC15250 i5 1334U_ CPH99,Apple,6,4.833,74.33,0,0.0
FPTShop,367873617539,Lenovo Gaming Legion 5 15IAX10 U7 255HX (83F0003CVN),Apple,5,4.8,51.4,1,0.2
FPTShop,368192825841,Acer Nitro 16 Phoenix Gaming AN16-41-R50Z R5 7640HS,Oppo,6,4.0,59.83,0,0.0
FPTShop,370888611213,MSI Gaming Crosshair 16 HX D2XWGKG-071VN U9 275HX,Apple,5,4.6,103.6,0,0.0
FPTShop,373431510728,Dell 16 Plus DB16250 Ultra5 226V_DB6U5387W1,Apple,5,5.0,97.4,0,0.0
FPTShop,374999417785,Macbook Pro 14 M5 2025 10CPU/10GPU/16GB/1TB,Apple,5,5.0,95.0,0,0.0
FPTShop,375297925981,Asus TUF Gaming FX507ZU4-LP054W i7 12700H,Oppo,13,5.0,148.62,1,0.0769
FPTShop,375585918618,Asus Zenbook 14 OLED UX3402VA-KM068W i7 1360P,Oppo,5,5.0,153.0,1,0.2
FPTShop,375605815949,Macbook Air 13 M3 2024 8CPU/8GPU/16GB/256GB,Oppo,5,4.8,146.0,1,0.2
FPTShop,378293712554,Lenovo Gaming LOQ 15IRX10 i7 13650HX 16GB (83JE00PEVN),Apple,5,4.6,99.0,0,0.0
FPTShop,379081510935,Lenovo IdeaPad Slim 3 14IRH10 i7-13620H (83K00007VN),Oppo,6,4.833,48.0,0,0.0
FPTShop,380506815573,Asus Vivobook S 15 OLED S5507QA-MA090WS X1E-78-100,Oppo,10,4.0,74.0,0,0.0
FPTShop,382313126939,HP 15-fc0089AU R7-7730U (A94XWPA),Oppo,7,4.429,44.71,0,0.0
FPTShop,385428730634,Lenovo ThinkPad E14 Gen 5 i7-1355U (21JK007XVN),Oppo,6,4.333,57.33,0,0.0
FPTShop,389791934043,MSI Modern 14 F13MG-466VN i5 1334U,Samsung,5,4.8,201.8,0,0.0
FPTShop,389921735489,Lenovo ThinkBook 16 G6 IRL i5-13500H,Oppo,6,3.667,61.33,0,0.0
FPTShop,397248128291,HP Envy x360 14-fc0087TU Core Ultra 7-155U(A19BXPA),Oppo,6,4.0,87.67,0,0.0
FPTShop,411965813747,MSI Gaming Thin15 B13UC-2044VN i7-13620H,Oppo,6,4.167,32.17,0,0.0
FPTShop,414637227105,Asus Vivobook X1404VA-EB509W i3-1315U,Apple,5,5.0,245.6,0,0.0
FPTShop,416049420529,HP OmniBook Ultra Flip 14-fh0095TU U9-288V (BZ7S2PA),Apple,6,4.667,43.17,0,0.0
FPTShop,416454817272,HP ProBook 450 G10 i5-1340P,Oppo,8,5.0,148.12,0,0.0
FPTShop,418263529239,HP Envy x360 14-fa0045AU R7-8840HS(A19BMPA),Oppo,6,4.0,87.67,0,0.0
FPTShop,418267325912,Gigabyte Gaming A16 CTHI3VN893SH i7 13620H/16GB/512GB,Apple,5,4.6,146.6,0,0.0
FPTShop,419262835581,MSI Modern 15 F13MG 667VN i5 1334U,Apple,5,4.8,120.6,0,0.0
FPTShop,419899532803,MSI Gaming Katana A15 AI B8VF-419VN R7-8845HS,Oppo,6,4.333,58.33,0,0.0
FPTShop,421776911213,HP OmniBook 7 16-az0043TU Core 7-240H (C2CX3PA),Apple,5,4.8,119.2,0,0.0
FPTShop,422154334564,HP 240 G10 i3-N305 (8U7D8PA),Oppo,6,4.333,56.67,0,0.0
FPTShop,424276227039,MSI Modern 15 H C13M-216VN i7-13700H,Oppo,5,4.8,174.2,0,0.0
FPTShop,424488813120,Lenovo Gaming LOQ - 15IAX9 i5 12450HX  (83GS000GVN),Oppo,6,4.833,30.83,0,0.0
FPTShop,424771216330,HP Probook 4 G1ah 14 R5-220,Apple,5,5.0,88.2,0,0.0
FPTShop,428315630748,Dell Inspiron 14 N5440 i5 1334U,Oppo,6,4.333,74.33,0,0.0
FPTShop,431997138342,Asus Vivobook E1404FA-NK186W R5 7520U,Oppo,96,5.0,124.57,39,0.4062
FPTShop,432287428516,Lenovo IdeaPad Slim 3 16IRH10 i7-13620H (83K20001VN),Apple,6,4.833,86.67,0,0.0
FPTShop,432978715770,Colorful Rimbook L1 i5- 12450H/A10205500048,Apple,5,4.6,91.6,0,0.0
FPTShop,434305913666,Acer Aspire Go 14 AI AG14-71M-52LH Ultra5 115U,Apple,5,4.8,97.4,0,0.0
FPTShop,434669416153,Lenovo IdeaPad Slim 3 15IRH10 i5 13420H (83K1002NVN),Apple,5,4.6,48.0,0,0.0
FPTShop,435315135642,Asus Vivobook S16 OLED S5606MA-MX051W U7-155H,Oppo,6,4.167,52.83,0,0.0
FPTShop,442072411257,Lenovo Gaming LOQ 15ARP9 R5 7235HS (83JC00HYVN),Apple,6,5.0,87.0,0,0.0
FPTShop,442804625805,Dell XPS 13 9350 Ultra 5-226V_71058714,Apple,5,4.8,117.8,0,0.0
FPTShop,443026723278,HP 250R G10 Core 5-120U (C3SH7AT),Apple,5,5.0,120.0,0,0.0
FPTShop,444265811235,Gigabyte Gaming G5 KF5-53VN353SH i5-13500H,Oppo,6,4.167,48.83,0,0.0
FPTShop,444502229634,Asus Vivobook S 14 OLED S5406MA-PP198WS Core Ultra7-155H,Oppo,6,4.0,87.67,0,0.0
FPTShop,445181926335,Gigabyte Gaming A16 CVHI3VNC93SH i7 13620H/16GB/512GB,Apple,5,4.6,115.8,0,0.0
FPTShop,447266410037,MSI Gaming Katana 15 B13VEK-252VN i7-13620H/16GB,Apple,5,5.0,85.0,0,0.0
FPTShop,453007945134,Acer Aspire 5 A515-58M-56YX i5 13420H,Oppo,6,4.0,45.33,0,0.0
FPTShop,453768134256,Acer Aspire 3 A315-44P-R5QG R7-5700U,Oppo,6,4.833,197.5,1,0.1667
FPTShop,454488411481,Colorful RimBook L1 i3-1220P/CA30016512C-G-E1AD,Apple,1,5.0,343.0,0,0.0
FPTShop,459507317715,MSI Gaming Katana 15 B13VEK-2415VN,Apple,5,5.0,110.6,0,0.0
FPTShop,460885716094,MSI Gaming Cyborg 15 AI A1VEK-245VN Ultra 5 135H,Apple,5,4.8,115.4,0,0.0
FPTShop,461653615435,Asus Vivobook A1405VA-KM257W i5 13500H,Oppo,43,5.0,130.42,4,0.093
FPTShop,461802514513,HP Envy X360 14-fc0084TU U7-155U(A19BTPA),Oppo,10,4.0,82.5,0,0.0
FPTShop,462496913747,MacBook Pro 14 M4 2024 10CPU/10GPU/16GB/512GB Nano,Oppo,5,4.8,108.6,1,0.2
FPTShop,468136115853,Asus Vivobook Gaming K3605VC-RP431W i5-13420H,Apple,7,4.714,99.14,1,0.1429
FPTShop,468320631663,MSI Gaming Gaming Cyborg 15 A12UC-621VN i5 12450H,Oppo,6,4.333,51.67,0,0.0
FPTShop,468730313694,Dell Inspiron 15 N3520 i5 1235U_N5I5011W1,Oppo,6,4.333,61.67,0,0.0
FPTShop,473841611865,Dell Inspiron 15 N3530 i5 1335U (N5I5489W1),Oppo,6,4.833,82.0,0,0.0
FPTShop,476117117296,HP OmniBook 5 16-ag1067AU Ryzen Al 7 350 (BZ7U5PA),Apple,5,5.0,257.6,0,0.0
